,music,speed,dance,folk,country,classical,musical,pop,rock,metal,punk,hiphop,reggae,jazz,rockNroll,alternative,latino,techno,opera,movies,horror,thriller,comedy,romantic,scifi,war,fantasy,animated,documentary,western,action,flying,storm,darkness,heights,spiders,snakes,rats,ageing,dogs,speaking,history,psychology,politics,math,physics,internet,pc,economy,biology,chemistry,reading,geography,languages,medicine,law,cars,art,religion,outdoors,dancing,instruments,writing,activeSport,passiveSport,gardening,celebrities,shopping,science,theatre,funs,extremeSports,pets,age,height,weight,siblings,gender,hand,education,onlyChild,place,typeOfHouse,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,finances,shoppingCentres,brandedClothing,entertainment,looks,gadgets,healthyFood
0,5,3,2,1,2,2,1,5,5,1,1,1,1,1,3,1,1,1,1,5,4,2,5,4,4,1,5,5,3,1,2,1,1,1,1,1,5,3,1,3,2,1,5,1,3,3,5,3,5,3,3,3,3,5,3,1,1,1,1,5,3,3,2,1,5,5,1,4,4,2,5,4,4,20,163,48,1,female,right handed,college/bachelor degree,no,village,block of flats,2,2,5,4,2,5,4,4,1,3,5,1,1,3,4,1,3,1,3,1,4,5,4,3,2,1,1,1,4,2,3,i am always on time,never,3,4,3,4,3,4,3,5,1,1,3,5,5,1,4,5,1,4,3,2,3,4,3,few hours a day,3,4,5,3,3,1,3
1,4,4,2,1,1,1,2,3,5,4,4,1,3,1,4,4,2,1,1,5,2,2,4,3,4,1,3,5,4,1,4,1,1,1,2,1,1,1,3,1,4,1,3,4,5,2,4,4,5,1,1,4,4,5,1,2,2,2,1,1,1,1,1,1,1,1,2,3,3,2,4,2,5,19,163,58,2,female,right handed,college/bachelor degree,no,city,block of flats,3,2,4,5,4,1,4,4,3,4,3,2,1,2,5,4,4,1,2,1,2,4,3,2,4,4,4,1,3,1,3,i am often early,sometimes,3,4,4,4,4,2,4,2,2,5,4,4,4,1,4,3,5,3,4,5,3,2,3,few hours a day,3,4,1,4,2,5,2
2,5,5,2,2,3,4,5,3,5,3,4,1,4,3,5,5,5,1,3,5,3,4,4,2,4,2,5,5,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,5,2,4,2,4,1,1,5,2,5,2,3,1,5,5,5,5,5,5,5,2,1,1,4,2,5,5,5,5,20,176,67,2,female,right handed,secondary school,no,city,block of flats,1,2,5,3,5,3,4,5,1,5,2,4,1,3,5,4,4,1,5,5,5,4,2,5,3,2,5,5,1,3,3,i am often running late,sometimes,2,3,4,3,5,3,4,4,3,4,3,2,4,4,4,4,3,3,3,4,5,3,1,few hours a day,2,4,1,4,3,4,2
3,5,3,2,1,1,1,1,2,2,1,4,2,2,1,2,5,1,2,1,5,4,4,3,3,4,3,1,2,5,1,2,2,1,1,3,5,5,5,4,5,5,4,4,5,4,1,3,1,2,3,3,5,4,4,2,5,1,5,4,1,1,1,3,1,1,1,2,4,3,1,2,1,1,22,172,59,1,female,right handed,college/bachelor degree,yes,city,house/bungalow,4,4,4,5,3,1,3,4,5,2,1,1,5,5,5,5,4,3,3,1,1,2,5,5,5,1,5,4,3,3,1,i am often early,only to avoid hurting someone,1,1,5,3,1,3,3,2,5,5,4,5,3,3,2,2,1,2,1,1,,2,4,most of the day,2,4,3,3,4,4,1
4,5,3,4,3,2,4,3,5,3,1,2,5,3,2,1,2,4,2,2,5,4,4,5,2,3,3,4,4,3,1,4,1,2,1,1,1,1,2,2,4,3,3,2,3,2,2,2,2,2,3,3,5,2,3,3,2,3,1,4,4,1,3,1,3,1,4,3,3,3,2,4,2,1,20,170,59,1,female,right handed,secondary school,no,village,house/bungalow,3,1,2,3,5,5,5,4,2,3,3,2,1,3,5,5,5,1,3,1,3,3,4,3,5,3,4,5,3,3,3,i am always on time,everytime it suits me,3,4,2,3,3,3,3,5,4,2,3,5,5,2,3,5,3,3,2,4,3,3,3,few hours a day,4,3,4,3,3,2,4
5,5,3,2,3,2,3,3,2,5,5,3,4,3,4,4,5,3,1,3,5,5,5,5,2,3,3,4,3,3,2,4,3,2,2,2,1,2,2,1,1,3,5,3,4,2,3,4,4,1,4,4,3,3,4,4,3,5,2,2,5,1,5,1,5,4,2,1,2,3,1,3,3,2,20,186,77,1,male,right handed,secondary school,no,city,block of flats,2,2,3,3,3,1,3,4,3,2,3,1,4,2,5,4,4,1,4,2,3,5,5,2,4,3,3,3,3,2,3,i am often early,only to avoid hurting someone,3,4,3,3,4,2,2,3,4,3,4,4,4,3,3,4,4,3,3,3,5,3,4,few hours a day,2,3,3,3,1,4,4
6,5,5,5,3,1,2,2,5,3,1,1,3,1,1,2,3,3,5,2,4,2,1,5,3,1,3,5,5,3,1,2,1,3,2,1,1,5,1,4,1,1,3,3,1,1,1,2,1,3,5,5,3,3,4,5,3,4,1,1,4,3,2,1,5,3,3,1,3,4,3,5,1,5,20,177,50,1,female,right handed,secondary school,no,village,house/bungalow,3,5,5,5,3,3,4,5,3,4,4,1,2,2,5,3,5,1,4,1,5,5,5,3,2,3,1,5,3,3,3,i am often early,never,4,5,5,4,5,4,3,2,3,3,4,3,3,5,5,4,3,3,2,2,4,4,5,less than an hour a day,4,3,1,3,4,1,5
7,5,3,3,2,1,2,2,4,5,1,2,3,2,2,3,1,2,3,2,5,4,4,5,2,3,3,4,4,3,1,3,3,2,4,3,1,5,3,1,2,4,5,2,3,1,1,5,4,1,2,2,2,3,4,1,2,1,1,2,2,1,1,1,4,5,1,3,3,2,2,4,2,5,19,184,90,1,male,right handed,college/bachelor degree,no,city,house/bungalow,3,1,3,2,4,3,3,3,1,4,4,2,1,3,5,3,5,2,1,2,3,5,2,2,5,3,2,4,4,1,4,i am always on time,sometimes,1,4,3,4,2,4,3,4,3,1,4,5,2,2,4,4,3,4,2,5,4,3,3,few hours a day,3,4,4,4,4,3,2
8,5,3,3,1,1,2,4,3,5,5,1,1,2,2,2,3,1,1,1,5,1,5,5,4,4,5,4,4,5,1,1,2,3,1,5,5,5,2,2,3,4,3,2,1,1,1,1,1,1,3,1,5,1,1,1,1,1,1,2,4,1,2,1,4,1,1,5,2,1,5,4,1,1,18,166,55,1,female,right handed,secondary school,no,city,house/bungalow,1,2,1,4,2,5,5,4,1,4,2,2,1,4,1,3,2,2,5,1,1,4,5,4,5,4,5,5,4,1,2,i am often early,sometimes,2,2,3,4,4,2,2,4,1,3,3,4,5,4,3,1,5,3,5,5,1,4,3,few hours a day,2,1,3,2,1,3,4
9,5,3,2,5,2,2,5,3,5,2,3,2,4,4,4,4,5,1,2,5,2,1,5,5,1,3,4,4,4,1,2,4,5,4,5,3,4,4,3,5,3,3,2,3,3,1,5,1,4,2,1,4,4,5,1,1,1,4,4,4,5,3,1,4,4,1,2,4,3,5,5,2,2,19,174,60,3,female,right handed,secondary school,no,city,block of flats,4,2,2,3,3,5,4,5,3,4,3,1,2,5,5,4,5,1,4,1,4,5,4,2,3,4,2,5,3,2,3,i am often running late,sometimes,1,4,4,3,4,4,4,3,4,3,4,5,3,5,4,4,1,3,3,4,3,3,3,few hours a day,4,4,4,2,3,2,4
